id,release_date,movie,production_budget,domestic_gross,worldwide_gross,production_budget_num,domestic_gross_num,worldwide_gross_num,domestic_ratio,worldwide_ratio,profit_num,roi_num,domestic_pct
98,2015-06-19,Inside Out,"$175,000,000","$356,461,711","$854,235,992",175000000.0,356461711.0,854235992.0,2.036924062857143,4.8813485257142855,679235992.0,3.881348525714286,41.72871599163431
99,2017-07-07,Spider-Man: Homecoming,"$175,000,000","$334,201,140","$880,166,350",175000000.0,334201140.0,880166350.0,1.9097208,5.029522,705166350.0,4.029522,37.970224605837295
100,2016-08-05,Suicide Squad,"$175,000,000","$325,100,054","$746,059,887",175000000.0,325100054.0,746059887.0,1.8577145942857143,4.263199354285715,571059887.0,3.2631993542857143,43.57559757129792
1,2009-05-29,Up,"$175,000,000","$293,004,164","$731,463,377",175000000.0,293004164.0,731463377.0,1.6743095085714286,4.179790725714286,556463377.0,3.1797907257142857,40.05725689257577
2,2017-11-22,Coco,"$175,000,000","$209,726,015","$798,008,101",175000000.0,209726015.0,798008101.0,1.1984343714285715,4.560046291428572,623008101.0,3.5600462914285713,26.281188716905017
3,2018-11-21,Ralph Breaks The Internet,"$175,000,000","$201,091,711","$524,283,695",175000000.0,201091711.0,524283695.0,1.1490954914285714,2.9959068285714285,349283695.0,1.9959068285714285,38.35551494692201
4,2009-03-27,Monsters vs. Aliens,"$175,000,000","$198,351,526","$381,687,380",175000000.0,198351526.0,381687380.0,1.1334372914285715,2.181070742857143,206687380.0,1.1810707428571428,51.96701185142668
5,2017-06-16,Cars 3,"$175,000,000","$152,901,115","$383,541,369",175000000.0,152901115.0,383541369.0,0.8737206571428572,2.1916649657142857,208541369.0,1.1916649657142857,39.865612254202496
6,2009-08-07,G.I. Joe: The Rise of Cobra,"$175,000,000","$150,201,498","$302,469,017",175000000.0,150201498.0,302469017.0,0.8582942742857143,1.7283943828571429,127469017.0,0.7283943828571429,49.65847394544877
7,1999-06-30,Wild Wild West,"$175,000,000","$113,805,681","$221,229,335",175000000.0,113805681.0,221229335.0,0.6503181771428571,1.2641676285714285,46229335.0,0.26416762857142856,51.442400710556754
8,2008-08-01,The Mummy: Tomb of the Dragon Emperor,"$175,000,000","$102,491,776","$405,760,225",175000000.0,102491776.0,405760225.0,0.5856672914285714,2.318629857142857,230760225.0,1.3186298571428572,25.259197349863456
9,2007-06-22,Evan Almighty,"$175,000,000","$100,289,690","$174,131,329",175000000.0,100289690.0,174131329.0,0.5730839428571428,0.9950361657142858,-868671.0,-0.004963834285714286,57.59428276114518
10,1995-07-28,Waterworld,"$175,000,000","$88,246,220","$264,246,220",175000000.0,88246220.0,264246220.0,0.5042641142857143,1.5099784,89246220.0,0.5099784,33.39545216578689
11,2017-05-12,King Arthur: Legend of the Sword,"$175,000,000","$39,175,066","$139,630,336",175000000.0,39175066.0,139630336.0,0.22385752,0.7978876342857143,-35369664.0,-0.2021123657142857,28.056271382172998
12,2013-12-25,47 Ronin,"$175,000,000","$38,362,475","$151,716,815",175000000.0,38362475.0,151716815.0,0.21921414285714286,0.8669532285714285,-23283185.0,-0.13304677142857144,25.28557892544739
13,2018-06-22,Jurassic World: Fallen Kingdom,"$170,000,000","$417,719,760","$1,305,772,799",170000000.0,417719760.0,1305772799.0,2.4571750588235295,7.681016464705882,1135772799.0,6.681016464705882,31.990232934849182
14,2014-08-01,Guardians of the Galaxy,"$170,000,000","$333,172,112","$770,867,516",170000000.0,333172112.0,770867516.0,1.9598359529411764,4.5345148,600867516.0,3.5345148,43.220411430594
15,2010-05-07,Iron Man 2,"$170,000,000","$312,433,331","$621,156,389",170000000.0,312433331.0,621156389.0,1.8378431235294117,3.653861111764706,451156389.0,2.653861111764706,50.29865852349785
16,2014-04-04,Captain America: The Winter Soldier,"$170,000,000","$259,746,958","$714,401,889",170000000.0,259746958.0,714401889.0,1.5279232823529412,4.202364052941176,544401889.0,3.2023640529411765,36.358660580193394
17,2014-07-11,Dawn of the Planet of the Apes,"$170,000,000","$208,545,589","$710,644,566",170000000.0,208545589.0,710644566.0,1.2267387588235295,4.180262152941176,540644566.0,3.1802621529411765,29.345976734028806
18,2004-11-10,The Polar Express,"$170,000,000","$187,224,605","$311,365,187",170000000.0,187224605.0,311365187.0,1.101321205882353,1.8315599235294118,141365187.0,0.8315599235294118,60.1302306156661
19,2012-06-01,Snow White and the Huntsman,"$170,000,000","$155,136,755","$401,021,746",170000000.0,155136755.0,401021746.0,0.9125691470588235,2.3589514470588235,231021746.0,1.3589514470588235,38.68537218926777
20,2003-07-01,Terminator 3: Rise of the Machines,"$170,000,000","$150,358,296","$433,058,296",170000000.0,150358296.0,433058296.0,0.8844605647058823,2.5474017411764707,263058296.0,1.5474017411764707,34.72010521188584
21,2004-05-07,Van Helsing,"$170,000,000","$120,150,546","$300,150,546",170000000.0,120150546.0,300150546.0,0.7067679176470588,1.7655914470588234,130150546.0,0.7655914470588235,40.03009409817965
22,2019-03-29,Dumbo,"$170,000,000","$113,883,318","$345,004,422",170000000.0,113883318.0,345004422.0,0.6699018705882352,2.0294377764705884,175004422.0,1.0294377764705882,33.00923429903168
